master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
126ba606-25c9-11ea-b1c8-000d3a38a36f,19,2.0,446.09999999999997,5,1,2,51,new_customers,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
12806c5e-1a97-11ea-98d5-000d3a38a36f,311,8.0,2145.38,1,5,5,15,cant_loose,"[ERKEK, COCUK]"
128991b4-5316-11ea-acd3-000d3a38a36f,113,3.0,462.38,3,2,3,32,about_to_sleep,[AKTIFCOCUK]
12911a0e-aa7b-11e9-a2fc-000d3a38a36f,118,3.0,177.25,3,2,1,32,about_to_sleep,"[COCUK, AKTIFSPOR]"
1295f1ca-2124-11eb-b361-000d3a38a36f,253,13.0,1061.26,1,5,5,15,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]"
12a2852e-9daa-11e9-9897-000d3a38a36f,169,8.0,1107.97,2,5,5,25,cant_loose,[COCUK]
12abb1e8-ab2f-11e9-a2fc-000d3a38a36f,180,8.0,1159.1,2,5,5,25,cant_loose,[ERKEK]
12e8f490-1eb1-11ea-aa32-000d3a38a36f,4,2.0,244.95999999999998,5,1,1,51,new_customers,"[ERKEK, AKTIFSPOR]"
12f83720-256e-11ea-b1c8-000d3a38a36f,138,3.0,423.94,3,2,2,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
1307d5fc-4140-11ea-96d9-000d3a38a36f,91,3.0,351.86,3,2,2,32,about_to_sleep,"[COCUK, KADIN]"
1357b978-112f-11ea-8872-000d3a38a36f,10,2.0,366.98,5,1,2,51,new_customers,[COCUK]
139d60e6-1f07-11ea-81ff-000d3a38a36f,90,2.0,199.88,3,1,1,31,about_to_sleep,"[ERKEK, KADIN]"
13a2460a-3faa-11eb-806e-000d3a38a36f,19,2.0,223.47,5,1,1,51,new_customers,"[ERKEK, COCUK, AKTIFSPOR]"
